StreamlineId,X,Y,Z,PointId,FA
1,-8.416319847106934,-21.862016677856445,55.68508529663086,1,0.1284090399896211
1,-8.666978104927914,-21.84695012733861,54.99799031565297,2,0.1938335232204434
1,-8.939725112547857,-21.850856214897412,54.31959924035715,3,0.24408101138249574
1,-9.234810586350953,-21.878211967697844,53.65133071889957,4,0.28277139727687706
1,-9.556195074914399,-21.939915356081798,52.997067179936785,5,0.3138511416017086
1,-9.893321186921717,-22.05201564924831,52.3578510370698,6,0.36296533962644795
1,-10.220388733124063,-22.175747952955312,51.715435407047885,7,0.38880176782985604
1,-10.530653626232029,-22.301046626100042,51.06516473430007,8,0.39205289561412054
1,-10.808540490531938,-22.407701490382614,50.39691350413451,9,0.3936001193046584
1,-11.04739706537604,-22.477090813610214,49.70955620838428,10,0.3845819138394196
1,-11.258443504141237,-22.5020645219317,49.01105822090171,11,0.3720049561337842
1,-11.444600853750536,-22.47389056882888,48.30467892430343,12,0.3600723454134831
1,-11.612942315826663,-22.34390534509589,47.604735305287925,13,0.37457849602761706
1,-11.777160746289217,-22.15573577717411,46.91827753846781,14,0.3954699737207916
1,-11.938333165740302,-21.92113362715263,46.24513818106982,15,0.41561729578084844
1,-12.096959233458778,-21.643607250708804,45.58713137482729,16,0.42863356954263565
1,-12.254646641714086,-21.323800387797377,44.94843583904678,17,0.4578885636896593
1,-12.40645028121546,-20.985620583009517,44.317963914484636,18,0.4783431455111697
1,-12.550064939711879,-20.630901374579306,43.694634129943886,19,0.48787566197192866
1,-12.679465796195595,-20.2587350790506,43.07827080944446,20,0.4821333787616714
1,-12.802865938277119,-19.866934302062816,42.47301575775824,21,0.48164320133739164
1,-12.913083965661686,-19.47681586078613,41.86423724992315,22,0.474567637230405
1,-13.005709466060255,-19.099705700265137,41.244915365208136,23,0.46306664606957904
1,-13.063445280170866,-18.777584549291184,40.590651950437334,24,0.4728424329727668
1,-13.087290507194778,-18.507774895530684,39.912132297254324,25,0.4957651206118383
1,-13.083176023895868,-18.28984217469475,39.21565206478421,26,0.5148282008069558
1,-13.051706020935832,-18.129331485533527,38.502861813811656,27,0.5213971441636226
1,-12.99425362033349,-18.072994631658766,37.77575696813678,28,0.5191692203397997
1,-12.946356519233147,-18.09277688596429,37.048126552894985,29,0.5098993777802601
1,-12.922548965245491,-18.184280261306068,36.325135980063614,30,0.4953290755881244
1,-12.944890603434208,-18.354236892658484,35.61395972152728,31,0.47671223033403415
